datapoint,cardinal,date,other,relevance,resultIndex,url
The Saros arises from a natural harmony between three of the Moon's orbital periods (circa 2000 CE):,"between three, 2000",,"ORG/Saros, PERSON/Moon",0.868608377406,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
The Saros arises from a natural harmony between three of the Moon's orbital periods (circa 2000 CE):,"between three, 2000",,"ORG/Saros, PERSON/Moon",0.868608377406,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
"As mentioned eariler, the Inex, a period of 358 synodic months (29 years minus about 20 days, or 10571.95 days) is another useful eclipse cycle because it marks the time interval between consecutively numbered Saros series.",358,"months, 29 years, about 20 days, 10571.95 days","WORK_OF_ART/Inex, ORG/Saros",0.844856027334,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
"As mentioned eariler, the Inex, a period of 358 synodic months (29 years minus about 20 days, or 10571.95 days) is another useful eclipse cycle because it marks the time interval between consecutively numbered Saros series.",358,"months, 29 years, about 20 days, 10571.95 days","WORK_OF_ART/Inex, ORG/Saros",0.844856027334,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
One Saros is equal to 223 synodic months.,223,months,PERSON/One Saros,0.841162519141,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
One Saros is equal to 223 synodic months.,223,months,PERSON/One Saros,0.841162519141,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
"Saros 136 will produce 71 eclipses over 1262 years in the following order: 8 partial, 6 annular, 6 hybrid, 44 total, and 7 partial.","71, 8, 6, 6, 44, 7",over 1262 years,PRODUCT/Saros 136,0.819028980866,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
"Saros 136 will produce 71 eclipses over 1262 years in the following order: 8 partial, 6 annular, 6 hybrid, 44 total, and 7 partial.","71, 8, 6, 6, 44, 7",over 1262 years,PRODUCT/Saros 136,0.819028980866,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
"However, 239 anomalistic months and 242 draconic months are also equal to this same period (to within a couple hours)!","239, 242","months, draconic months",TIME/a couple hours,0.809534568598,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
"However, 239 anomalistic months and 242 draconic months are also equal to this same period (to within a couple hours)!","239, 242","months, draconic months",TIME/a couple hours,0.809534568598,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
"A series may last 1226 to 1550 years and is comprised of 69 to 87 eclipses, of which about 40 to 60 are central (i.e., total, hybrid or annular).","69, about 40 to 60",,,0.798618481047,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
"A series may last 1226 to 1550 years and is comprised of 69 to 87 eclipses, of which about 40 to 60 are central (i.e., total, hybrid or annular).","69, about 40 to 60",,,0.798618481047,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
"The total solar eclipse of 1999 August 11 is number 21 of 77 eclipses in Saros 145, and it is the 5th of 41 total eclipses in the series.","21, 77, 41",1999,"EVENT/August 11, FAC/Saros 145, ORDINAL/5th",0.789940435737,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
"The total solar eclipse of 1999 August 11 is number 21 of 77 eclipses in Saros 145, and it is the 5th of 41 total eclipses in the series.","21, 77, 41",1999,"EVENT/August 11, FAC/Saros 145, ORDINAL/5th",0.789940435737,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
"For instance, during the later half of the twentieth century, there are 41 individual series and 26 of them are producing central eclipses.","41, 26",the later half of the twentieth century,,0.784613245020,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
"For instance, during the later half of the twentieth century, there are 41 individual series and 26 of them are producing central eclipses.","41, 26",the later half of the twentieth century,,0.784613245020,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
The extra 1/3 day displacement means that Earth must rotate an additional \~8 hours or \~120º with each cycle.,1/3,,"LOC/Earth, TIME/hours",0.776515978578,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
The extra 1/3 day displacement means that Earth must rotate an additional \~8 hours or \~120º with each cycle.,1/3,,"LOC/Earth, TIME/hours",0.776515978578,1,https://eclipse.gsfc.nasa.gov/SEsaros/SEsaros.html
